Data,Horário,Em casa,Resultado,Visitante,Público,Local
2024-10-30,19:00,Internacional,1–1,Flamengo,,Estádio José Pinheiro Borba
2024-11-02,16:00,Red Bull Bragantino,0–0,Cuiabá,,Estádio Nabi Abi Chedid
2024-11-02,18:30,Juventude,0–3,Fortaleza,,Estádio Alfredo Jaconi
2024-11-02,18:30,Ath Paranaense,1–2,Vitória,,Ligga Arena
2024-11-01,21:00,Fluminense,2–2,Grêmio,,Estadio Jornalista Mário Filho
2024-11-04,20:00,Corinthians,2–0,Palmeiras,,Neo Química Arena
2024-11-05,21:30,Bahia,0–3,São Paulo,,Itaipava Arena Fonte Nova
2024-11-05,21:30,Internacional,2–0,Criciúma,,Estádio José Pinheiro Borba
2024-11-05,21:30,Botafogo (RJ),3–0,Vasco da Gama,,Estádio Nilton Santos
2024-11-06,21:00,Atl Goianiense,1–0,Atlético Mineiro,,Estádio Antônio Accioly
2024-11-06,21:00,Cruzeiro,0–1,Flamengo,,Estádio Raimundo Sampaio
2024-11-08,19:00,Internacional,2–0,Fluminense,,Estádio José Pinheiro Borba
2024-11-09,16:30,Vitória,1–2,Corinthians,,Estádio Manoel Barradas
2024-11-09,16:30,Botafogo (RJ),0–0,Cuiabá,,Estádio Nilton Santos
2024-11-09,19:00,Cruzeiro,2–1,Criciúma,,Estádio Governador Magalhães Pinto
2024-11-09,19:00,Fortaleza,3–0,Vasco da Gama,,Estádio Castelão
2024-11-09,19:00,Atl Goianiense,0–0,Red Bull Bragantino,,Estádio Antônio Accioly
2024-11-09,19:00,Juventude,2–1,Bahia,,Estádio Alfredo Jaconi
2024-11-08,21:30,Palmeiras,1–0,Grêmio,,Allianz Parque
2024-11-09,21:00,São Paulo,2–1,Ath Paranaense,,Estádio do Morumbi
