Data,Horário,Em casa,Resultado,Visitante,Público,Local
2024-06-11,21:30,Red Bull Bragantino,1–2,Atlético Mineiro,4.617,Estádio Nabi Abi Chedid
2024-06-13,19:00,Cruzeiro,2–1,Cuiabá,26.595,Estádio Governador Magalhães Pinto
2024-06-13,20:00,Flamengo,2–1,Grêmio,51.785,Estadio Jornalista Mário Filho
2024-06-13,20:00,Internacional,0–0,São Paulo,17.987,Estádio Heriberto Hülse
2024-06-13,20:00,Ath Paranaense,3–1,Criciúma,23.424,Ligga Arena
2024-06-13,21:30,Bahia,1–0,Fortaleza,29.889,Itaipava Arena Fonte Nova
2024-06-13,21:30,Palmeiras,2–0,Vasco da Gama,37.641,Allianz Parque
2024-06-15,18:30,Red Bull Bragantino,2–1,Juventude,3.338,Estádio Nabi Abi Chedid
2024-06-16,16:00,Vitória,2–1,Internacional,14.251,Estádio Manoel Barradas
2024-06-16,16:00,Corinthians,2–2,São Paulo,46.129,Neo Química Arena
2024-06-16,16:00,Ath Paranaense,1–1,Flamengo,38.641,Ligga Arena
2024-06-16,17:30 (18:30),Cuiabá,5–0,Fortaleza,4.474,Arena Pantanal
2024-06-16,18:30,Criciúma,2–2,Bahia,8.661,Estádio Heriberto Hülse
2024-06-16,18:30,Grêmio,1–2,Botafogo (RJ),15.595,Estádio Kleber José de Andrade
2024-06-16,18:30,Vasco da Gama,0–0,Cruzeiro,11.275,Estádio Club de Regatas Vasco da Gama
2024-06-15,21:00,Fluminense,1–2,Atl Goianiense,14.485,Estadio Jornalista Mário Filho
2024-06-17,20:30,Atlético Mineiro,0–4,Palmeiras,28.251,Arena MRV
2024-06-19,19:00,Atl Goianiense,1–2,Criciúma,6.478,Estádio Antônio Accioly
2024-06-19,19:00,Botafogo (RJ),1–1,Ath Paranaense,19.589,Estádio Nilton Santos
2024-06-19,20:00,Fortaleza,1–0,Grêmio,16.935,Estádio Castelão
2024-06-19,20:00,São Paulo,0–1,Cuiabá,33.586,Estádio do Morumbi
2024-06-19,20:00,Juventude,2–0,Vasco da Gama,4.838,Estádio Alfredo Jaconi
2024-06-20,18:30,Vitória,4–2,Atlético Mineiro,15.044,Estádio Manoel Barradas
2024-06-20,20:00,Flamengo,2–1,Bahia,49.909,Estadio Jornalista Mário Filho
2024-06-19,21:30,Internacional,1–0,Corinthians,14.447,Estádio Orlando Scarpelli
2024-06-19,21:30,Cruzeiro,2–0,Fluminense,28.812,Estádio Governador Magalhães Pinto
2024-06-20,21:30,Palmeiras,2–1,Red Bull Bragantino,29.119,Allianz Parque
2024-06-22,16:00,Criciúma,2–1,Botafogo (RJ),16.256,Estádio Heriberto Hülse
2024-06-22,17:30 (18:30),Cuiabá,0–0,Atl Goianiense,4.635,Arena Pantanal
2024-06-22,17:30,Grêmio,0–1,Internacional,27.961,Estádio Major Antônio Couto Pereira
2024-06-23,16:00,Fluminense,0–1,Flamengo,57.098,Estadio Jornalista Mário Filho
2024-06-23,16:00,Bahia,4–1,Cruzeiro,35.541,Itaipava Arena Fonte Nova
2024-06-23,16:00,Ath Paranaense,1–1,Corinthians,34.682,Ligga Arena
2024-06-23,18:30,Atlético Mineiro,1–1,Fortaleza,20.089,Arena MRV
2024-06-23,18:30,Palmeiras,3–1,Juventude,38.258,Allianz Parque
2024-06-23,18:30,Red Bull Bragantino,2–1,Vitória,4.426,Estádio Nabi Abi Chedid
2024-06-22,21:30,Vasco da Gama,4–1,São Paulo,4.897,Estádio Club de Regatas Vasco da Gama
2024-06-26,19:00,Botafogo (RJ),2–1,Red Bull Bragantino,13.333,Estádio Nilton Santos
2024-06-26,19:00,Cruzeiro,2–0,Ath Paranaense,26.465,Estádio Governador Magalhães Pinto
2024-06-26,20:00,Juventude,2–1,Flamengo,12.675,Estádio Alfredo Jaconi
2024-06-26,20:00,Atl Goianiense,1–1,Grêmio,7.319,Estádio Antônio Accioly
2024-06-26,20:00,Corinthians,1–1,Cuiabá,38.475,Neo Química Arena
2024-06-27,19:00,Fluminense,0–1,Vitória,24.269,Estadio Jornalista Mário Filho
2024-06-27,20:00,São Paulo,2–1,Criciúma,28.008,Estádio do Morumbi
2024-06-26,21:30,Bahia,2–1,Vasco da Gama,38.318,Itaipava Arena Fonte Nova
2024-06-26,21:30,Internacional,1–2,Atlético Mineiro,9.978,Estádio Heriberto Hülse
2024-06-26,21:30,Fortaleza,3–0,Palmeiras,28.613,Estádio Castelão
2024-06-29,17:30 (18:30),Cuiabá,1–1,Red Bull Bragantino,5.024,Arena Pantanal
2024-06-29,18:30,Vasco da Gama,1–1,Botafogo (RJ),15.593,Estádio Club de Regatas Vasco da Gama
2024-06-30,11:00,Atlético Mineiro,1–1,Atl Goianiense,36.099,Arena MRV
2024-06-30,16:00,São Paulo,3–1,Bahia,28.008,Estádio do Morumbi
2024-06-30,16:00,Fortaleza,2–1,Juventude,33.717,Estádio Castelão
2024-06-30,16:00,Grêmio,1–0,Fluminense,8.549,Estádio Francisco Stédile
2024-06-30,18:30,Flamengo,2–1,Cruzeiro,52.768,Estadio Jornalista Mário Filho
